t_s,height_cm,roll_deg,pitch_deg,yaw_deg,batt_%,accel_x,temp_c,speed_cm_s,vz_cm_s
0.01,3.8,0,0,0,52,-9,0,56100.0,0.0
0.22,3.8,0,0,0,52,-9,0,56102.228119745836,0.0
0.44,3.8,0,0,0,52,-9,40.63,56102.228119745836,0.0
0.65,3.8,0,0,0,52,2,40.63,56102.228119745836,0.0
0.87,3.8,3,19,0,49,0,40.52,30900.0,0.0
1.08,4.9,3,19,0,49,-1,40.52,30900.0,5.199077769789525
1.3,4.9,1,3,0,48,-12,40.52,76119.11717827526,0.0
1.51,4.9,0,2,0,48,-12,40.52,76119.11717827526,0.0
1.72,4.9,0,0,0,48,-12,40.52,92049.55187289072,0.0
1.94,4.9,0,0,0,48,-12,40.52,87707.29730187792,0.0
2.15,34.9,0,0,0,48,-12,40.52,70840.10163742003,139.49472027138637
2.36,34.9,0,0,0,48,-12,40.52,38708.78453271298,0.0
2.58,34.9,0,-6,0,48,3,40.52,26209.158704544487,0.0
2.79,34.9,6,-6,0,48,3,40.52,21246.176126540984,0.0
3.0,34.9,6,-6,-13,50,-6,40.52,8121.576201698781,0.0
3.22,34.9,-2,-4,-13,50,-6,40.52,8121.576201698781,0.0
3.44,17.0,-2,-4,-60,50,-3,40.52,8121.576201698781,-82.76309119610558
3.65,17.0,3,-3,-60,50,-4,40.06,23792.435772740882,0.0
3.87,17.0,-4,-3,-61,49,-1,40.04,23879.907872519107,0.0
4.08,17.0,-5,-2,-62,49,-1,40.04,4707.440918375928,0.0
4.29,17.0,-5,-2,-61,48,-3,40.04,6612.110101926615,0.0
4.51,17.0,0,3,-64,48,-2,40.04,5913.543776789008,0.0
4.72,999.9,0,0,-88,47,2,40.02,44026.35574289564,4649.526148599192
4.94,999.9,0,0,-118,47,0,40.02,1442.2205101855957,0.0
5.15,999.9,0,0,-139,47,-8,39.98,5590.169943749474,0.0
5.37,999.9,0,0,-140,47,-8,39.98,5590.169943749474,0.0
5.58,999.9,0,0,-140,47,-8,39.98,5590.169943749474,0.0
5.8,999.9,0,0,-140,47,-8,39.98,1902.6297590440447,0.0
6.01,999.9,0,0,-140,47,-7,39.98,1964.68827043885,0.0
6.22,999.9,1,0,-166,47,8,39.98,1964.68827043885,0.0
6.44,999.9,1,8,-166,44,2,39.98,1964.68827043885,0.0
6.65,999.9,0,8,-166,44,2,39.98,1964.68827043885,0.0
6.87,999.9,0,8,-166,44,2,39.98,10830.050784737807,0.0
7.09,999.9,0,6,-166,42,-9,39.98,10830.050784737807,0.0
7.3,999.9,4,3,-166,42,-18,39.98,10830.050784737807,0.0
7.51,999.9,4,3,-166,42,-18,39.92,13109.53851209111,0.0
7.72,94.2,-2,5,-124,42,-13,39.92,13109.53851209111,-4205.671432557027
7.94,99.9,-2,8,-92,42,-3,39.92,13109.53851209111,26.33234697080675
8.16,99.9,-7,8,-92,41,-3,39.92,13109.53851209111,0.0
8.37,99.9,-7,8,-92,41,-3,39.92,13109.53851209111,0.0
8.58,999.9,-7,9,-46,41,-5,39.92,10688.779163215975,4213.3624427828545
8.8,999.9,-2,9,-46,41,-5,39.92,10893.117092916977,0.0
9.01,999.9,-2,9,-46,41,-5,39.92,26069.330639661617,0.0
9.23,999.9,0,0,-19,41,-16,39.92,26069.330639661617,0.0
9.44,999.9,0,0,-19,41,-16,39.87,26069.330639661617,0.0
9.65,999.9,0,0,49,41,3,39.89,5536.244214266563,0.0
9.87,999.9,-7,3,83,41,8,39.89,5502.726596879042,0.0
10.08,999.9,-5,3,83,41,8,39.89,5502.726596879042,0.0
10.3,999.9,-5,3,83,41,8,39.89,12003.749414245534,0.0
10.52,999.9,0,20,108,41,-7,39.89,5544.366510251644,0.0
10.73,999.9,0,20,108,41,-7,39.89,15201.315732527892,0.0
10.94,999.9,0,20,107,41,-14,39.89,15201.315732527892,0.0
11.16,999.9,2,14,107,41,-24,39.83,44904.008729733694,0.0
11.37,999.9,1,13,107,41,-24,39.82,49719.71439982334,0.0
11.58,999.9,1,-14,107,41,-19,39.82,49700.90542434816,0.0
11.79,999.9,0,-12,107,41,-1,39.82,22402.008838494818,0.0
12.0,999.9,0,-13,108,41,-15,39.82,7900.632886041472,0.0
12.22,999.9,0,-13,108,37,-15,39.78,8261.961026293939,0.0
12.43,999.9,0,-13,108,37,-15,39.78,6649.060083951716,0.0
12.64,999.9,-5,-3,177,37,3,39.77,11629.703349613008,0.0
12.86,999.9,-5,-2,-178,37,3,39.77,11629.703349613008,0.0
13.08,999.9,-5,3,-120,36,-5,39.78,3000.0,0.0
13.29,999.9,-1,8,-115,36,-8,39.8,25583.78392654222,0.0
