t_s,height_cm,roll_deg,pitch_deg,yaw_deg,batt_%,accel_x,temp_c,speed_cm_s,vz_cm_s
13.51,999.9,1,3,-114,36,-13,39.8,25583.78392654222,0.0
13.72,999.9,1,3,-108,36,-2,39.79,25583.78392654222,0.0
13.93,999.9,1,-2,-108,36,-2,39.79,25583.78392654222,0.0
14.14,999.9,1,-2,-108,36,-2,39.78,21582.400237230333,0.0
14.36,999.9,1,-2,-108,36,-2,39.78,23086.79276123039,0.0
14.57,999.9,1,-2,-108,36,-2,39.78,23086.79276123039,0.0
14.78,999.9,1,-3,-79,36,-7,39.78,23086.79276123039,0.0
14.99,999.9,0,-3,-79,36,-4,39.78,21800.0,0.0
15.2,999.9,0,-2,-79,36,10,39.78,100.0,0.0
15.41,999.9,0,-2,-79,36,4,39.78,800.0,0.0
15.63,999.9,0,-2,-79,36,4,39.78,800.0,0.0
15.84,999.9,0,-1,-80,35,6,39.78,800.0,0.0
16.06,999.9,0,-1,-80,35,-2,39.78,800.0,0.0
16.28,999.9,0,-1,-80,35,-2,39.78,806.2257748298549,0.0
16.49,999.9,0,0,-79,34,5,39.8,22461.077445216204,0.0
16.7,999.9,0,0,-79,34,5,39.8,22461.077445216204,0.0
16.92,999.9,0,3,-79,34,3,39.8,21100.236965494012,0.0
17.13,999.9,1,11,-78,34,4,39.8,24698.380513709802,0.0
17.34,999.9,1,9,-78,34,-3,39.8,24698.380513709802,0.0
17.55,999.9,1,9,-78,34,-3,39.8,23500.212764994278,0.0
17.77,999.9,1,9,-79,34,-10,39.8,1004.987562112089,0.0
17.98,999.9,3,18,-79,34,-4,39.8,1019.803902718557,0.0
18.2,999.9,0,-1,-80,34,-12,39.8,13401.492454200763,0.0
18.41,999.9,0,-1,-80,34,-12,39.8,15868.522300453813,0.0
18.62,999.9,0,-6,-49,34,-7,39.8,24052.026941611388,0.0
18.84,999.9,-6,-8,-40,34,-7,39.8,24052.026941611388,0.0
19.05,999.9,-7,-8,-40,34,-7,39.8,24052.026941611388,0.0
19.26,999.9,-7,-8,-40,34,-7,39.8,24052.026941611388,0.0
19.48,999.9,-7,-8,-40,33,9,39.8,24052.026941611388,0.0
19.69,999.9,-2,-1,-40,34,9,39.87,23748.894711122874,0.0
19.91,999.9,-2,-1,-40,34,9,39.87,10400.480758118829,0.0
20.12,121.9,-2,1,-39,34,5,39.89,824.6211251235321,-4158.497348570396
20.33,121.9,0,1,-39,34,5,39.89,8745.856161634492,0.0
20.54,121.9,0,1,-39,34,5,39.89,8745.856161634492,0.0
20.76,121.9,0,4,-39,34,-2,39.89,8745.856161634492,0.0
20.98,121.9,2,5,-39,34,-3,39.89,8745.856161634492,0.0
21.19,999.9,1,0,-39,34,2,39.89,728.0109889280518,4200.600115891245
21.4,999.9,0,0,-39,34,0,39.89,412.31056256176606,0.0
21.62,999.9,1,0,-39,34,0,39.89,632.4555320336759,0.0
21.83,112.4,1,0,-39,34,0,39.89,200.0,-4105.011330991779
22.04,112.4,1,0,-39,33,5,40.0,200.0,0.0
22.26,112.4,0,0,-39,33,5,40.0,200.0,0.0
22.48,105.8,0,0,-39,33,4,40.05,200.0,-30.23793526061571
22.7,105.8,0,0,-39,33,4,40.05,200.0,0.0
22.91,105.8,0,0,-39,33,4,40.05,200.0,0.0
23.13,999.9,0,0,-39,33,0,40.09,7244.308110509934,4106.708608135826
23.34,100.5,0,-2,-70,33,-2,40.09,8798.295289429652,-4229.242034597576
23.56,100.5,0,-2,-70,33,-2,40.12,36216.708851026204,0.0
23.77,100.5,0,-2,-70,33,-2,40.12,3901.2818406262318,0.0
23.98,999.9,0,-2,-70,33,-3,40.16,9708.2439194738,4371.704603646064
24.19,999.9,0,10,-77,33,-13,40.16,11307.077429645558,0.0
24.4,999.9,0,10,-77,33,-2,40.16,11307.077429645558,0.0
24.61,999.9,-1,-3,-77,33,-2,40.16,11307.077429645558,0.0
24.82,999.9,-1,-3,-77,32,-4,40.12,11307.077429645558,0.0
25.04,92.8,0,-3,-34,32,-14,40.12,5738.466694161429,-4250.220806420261
25.25,92.8,-1,-2,-19,32,0,40.14,3956.0080889704964,0.0
25.46,92.8,-1,-1,-17,32,-8,40.14,700.0,0.0
25.68,92.8,0,-1,-17,32,-8,40.14,700.0,0.0
25.9,92.8,0,-1,-17,32,-8,40.14,3712.142238654117,0.0
26.12,97.5,1,-1,-82,32,0,40.14,3712.142238654117,21.49534322037134
26.33,99.1,1,-1,-82,32,0,40.14,7983.107164506812,7.544153210394466
26.54,99.1,-1,0,-92,32,-13,40.14,7983.107164506812,0.0
26.76,103.2,-1,0,-96,32,3,40.14,7983.107164506812,18.918161236168938
26.97,103.2,-1,0,-96,32,3,40.14,7983.107164506812,0.0
27.19,103.2,-1,0,-96,32,3,40.14,2475.8836806279896,0.0
27.4,103.2,-1,0,-96,32,3,40.14,2408.3189157584593,0.0
27.62,103.2,-1,0,-96,32,3,40.14,2408.3189157584593,0.0
27.83,103.2,-1,0,-96,32,3,40.14,1708.8007490635061,0.0
28.05,103.2,-1,0,-96,32,3,40.14,1708.8007490635061,0.0
28.26,103.2,-1,0,-96,32,3,40.14,1708.8007490635061,0.0
28.47,103.2,-1,0,-96,32,3,40.14,1708.8007490635061,0.0
28.69,103.2,-1,0,-45,32,-5,40.14,1708.8007490635061,0.0
28.9,103.2,0,0,-46,31,0,40.37,1612.4515496597098,0.0
29.11,103.2,0,0,-46,31,0,40.37,5261.178575186362,0.0
29.32,103.2,0,0,-48,31,1,40.37,3667.4241641784497,0.0
29.53,107.1,0,0,-48,31,0,40.37,3764.3060449437426,18.72746543937074
29.75,107.1,0,0,-48,31,-3,40.37,3764.3060449437426,0.0
29.97,105.1,-1,0,-48,31,-8,40.37,3764.3060449437426,-9.25826456542397
30.18,105.1,-1,0,-48,31,-3,40.37,316.22776601683796,0.0
30.39,103.5,-1,0,-48,31,-3,40.37,316.22776601683796,-7.4677088178542315
30.61,103.5,-1,0,-47,31,-1,40.53,31726.644953414157,0.0
30.82,103.5,0,16,-46,31,-3,40.53,31726.644953414157,0.0
31.03,103.5,0,16,-46,31,-3,40.53,37010.94432732026,0.0
31.25,104.0,0,16,-46,31,-3,40.53,1421.2670403551895,2.3084464081878413
31.46,104.0,0,0,-10,31,-13,40.53,1421.2670403551895,0.0
31.67,104.0,-4,1,25,31,-3,40.53,1421.2670403551895,0.0
31.88,999.9,-5,1,25,31,-3,40.53,1421.2670403551895,4177.833292122139
32.1,999.9,-5,1,25,31,-3,40.53,1421.2670403551895,0.0
32.32,999.9,-5,1,25,31,0,40.53,1421.2670403551895,0.0
32.53,999.9,-2,5,132,31,0,40.53,1421.2670403551895,0.0
32.74,999.9,-2,5,132,30,0,40.53,1421.2670403551895,0.0
32.96,999.9,-2,5,132,30,7,40.53,1421.2670403551895,0.0
33.17,103.5,1,1,141,30,0,40.53,1421.2670403551895,-4180.169580101197
33.38,103.5,1,1,141,30,5,40.63,10580.170130957253,0.0
33.6,103.5,1,1,141,30,5,40.63,10580.170130957253,0.0
33.81,121.0,0,0,136,30,-7,40.63,10580.170130957253,80.98469903392515
34.03,135.2,0,-1,113,30,-2,40.63,10580.170130957253,65.88842477202549
34.24,135.2,0,-1,79,31,-10,40.63,9100.549433962766,0.0
34.46,135.2,0,-3,76,30,-4,40.69,9100.549433962766,0.0
34.67,135.2,1,-1,65,30,0,40.69,9100.549433962766,0.0
34.89,999.9,0,-1,71,30,-3,40.72,4901.020301937138,4011.8566197357595
35.1,111.0,0,0,71,30,2,40.74,4901.020301937138,-4197.184281709802
35.31,107.1,0,0,70,30,2,40.74,6021.627686929839,-18.493654777571287
35.52,107.1,0,0,70,30,2,40.74,38160.84380618437,0.0
35.73,999.9,0,0,70,30,2,40.79,18606.719216455112,4216.496334538527
35.95,999.9,0,0,70,30,2,40.79,20806.00874747485,0.0
36.17,999.9,0,0,70,30,2,40.79,20806.00874747485,0.0
36.38,999.9,0,0,135,30,-2,40.79,26415.33645441602,0.0
36.59,999.9,-7,19,160,30,-11,40.79,26461.292485439935,0.0
36.8,999.9,-6,19,160,30,-11,40.79,26461.292485439935,0.0
37.02,999.9,-11,-6,171,30,-13,40.79,26461.292485439935,0.0
37.23,999.9,-12,-6,171,30,-13,40.79,26461.292485439935,0.0
37.45,999.9,-12,-6,171,30,-13,40.79,26461.292485439935,0.0
37.66,999.9,-12,-6,171,30,6,40.79,3244.9961479175904,0.0
37.87,999.9,-7,2,-120,29,6,40.79,761.5773105863908,0.0
38.08,999.9,-3,4,-79,28,4,40.75,1565.2475842498527,0.0
38.29,999.9,-3,4,-79,28,4,40.75,1565.2475842498527,0.0
38.51,999.9,-3,4,-79,28,4,40.8,18278.94964159593,0.0
38.72,999.9,-1,-2,-51,28,-6,40.8,18278.94964159593,0.0
38.94,999.9,-1,14,-51,28,1,40.8,18278.94964159593,0.0
39.15,999.9,0,16,-51,28,-6,40.8,17691.806012954134,0.0
39.37,999.9,0,16,-51,28,-6,40.78,20342.074623793906,0.0
39.59,999.9,0,16,-51,28,-6,40.78,81648.02508328049,0.0
39.8,999.9,0,16,-51,29,-6,40.78,81648.02508328049,0.0
40.01,999.9,0,16,-81,29,-2,40.78,81648.02508328049,0.0
40.23,999.9,0,-12,-119,29,-3,40.78,26932.879534130767,0.0
40.45,999.9,6,-11,-119,29,-3,40.78,26932.879534130767,0.0
40.66,999.9,6,-11,-119,29,-3,40.78,18287.974190707948,0.0
40.88,999.9,3,-1,158,29,4,40.78,9664.884893261791,0.0
41.09,999.9,3,-1,158,28,2,40.78,10178.899744078433,0.0
41.31,999.9,1,0,156,28,2,40.78,11113.955191559844,0.0
41.52,999.9,1,0,156,28,2,40.78,11113.955191559844,0.0
41.74,999.9,1,3,152,29,-13,40.78,10288.342918079665,0.0
41.95,999.9,0,-5,131,29,-3,40.78,48978.056310964406,0.0
42.17,999.9,0,-4,128,29,-3,40.73,21189.62010041709,0.0
42.38,999.9,1,-2,93,29,-3,40.73,44009.6580309368,0.0
42.59,53.3,9,-3,73,28,5,40.73,42284.985514955544,-4516.093556624516
42.81,53.3,10,-3,73,28,5,40.73,42284.985514955544,0.0
43.02,53.3,10,-2,72,28,8,40.73,42284.985514955544,0.0
43.24,53.3,5,0,74,28,3,40.73,42284.985514955544,0.0
43.45,53.3,5,0,74,28,3,40.73,13971.399357258384,0.0
43.67,48.0,1,1,73,28,0,40.75,16274.21273057471,-24.44660488430377
43.89,50.4,0,1,73,28,1,40.75,16274.21273057471,11.04214613855651
44.1,50.4,0,1,73,28,1,40.75,6008.327554319921,0.0
44.31,50.4,0,1,73,28,1,40.75,8221.921916437786,0.0
44.52,50.4,0,1,73,28,1,40.75,5503.635162326806,0.0
44.74,999.9,0,1,73,28,1,40.75,5500.909015790026,4423.191955271523
44.95,999.9,0,1,73,28,1,40.75,5500.909015790026,0.0
45.16,999.9,0,18,74,27,-13,40.75,5500.909015790026,0.0
45.38,999.9,0,18,74,27,-22,40.72,38706.33023163007,0.0
45.59,999.9,-3,-7,74,27,-22,40.72,39206.24950183325,0.0
45.81,999.9,1,-7,35,27,-11,40.7,38481.294157031676,0.0
46.02,999.9,2,-4,6,27,0,40.7,38481.294157031676,0.0
46.24,999.9,3,-1,-29,27,6,40.7,38481.294157031676,0.0
46.45,999.9,3,-1,-29,27,6,40.69,25300.197627686626,0.0
46.66,999.9,7,6,-75,27,4,40.69,49642.72353527755,0.0
46.87,999.9,7,21,-78,27,-7,40.69,4681.87996428785,0.0
47.08,999.9,0,19,-78,27,-12,40.69,4681.87996428785,0.0
47.29,999.9,0,19,-78,27,-12,40.69,4681.87996428785,0.0
47.51,999.9,0,19,-78,27,-12,40.64,28000.178570859152,0.0
47.73,999.9,0,19,-78,27,-12,40.61,25277.064703006952,0.0
47.94,999.9,0,19,-78,27,-12,40.61,31016.124838541644,0.0
48.16,999.9,0,19,-78,27,-12,40.61,68906.3857708413,0.0
48.37,999.9,5,-20,-101,27,-18,40.61,30204.96647904116,0.0
48.59,64.1,5,-15,-100,26,-11,40.57,9702.061636580134,-4404.098735444143
48.81,64.1,2,-14,-100,26,-9,40.54,9831.073186585481,0.0
49.02,64.1,0,-6,-101,26,-9,40.54,5345.091205957107,0.0
49.23,64.1,0,-6,-101,26,-9,40.54,5115.662224971465,0.0
49.44,64.1,0,-2,-176,26,0,40.54,7510.65909225016,0.0
49.66,64.1,0,-2,-176,27,0,40.54,9420.19108086455,0.0
49.87,64.1,0,-2,-176,27,-9,40.54,6224.146527838174,0.0
50.09,64.1,-1,-1,144,27,-9,40.54,6224.146527838174,0.0
50.31,999.9,-1,-1,144,27,4,40.54,6224.146527838174,4292.760418970248
50.52,999.9,0,19,144,27,4,40.54,6224.146527838174,0.0
50.74,999.9,0,0,145,26,-6,40.54,6224.146527838174,0.0
50.95,999.9,0,0,145,26,-3,40.52,6224.146527838174,0.0
51.16,999.9,0,-1,144,26,-6,40.52,6224.146527838174,0.0
51.38,999.9,0,-2,144,26,-8,40.52,6224.146527838174,0.0
51.59,999.9,0,-2,144,26,-8,40.48,6224.146527838174,0.0
51.81,999.9,0,-1,144,26,-11,40.48,6224.146527838174,0.0
52.03,999.9,0,-1,144,26,-11,40.48,7716.216689544171,0.0
52.24,999.9,0,0,144,26,1,40.49,7300.0,0.0
52.46,999.9,0,0,144,26,1,40.49,7300.0,0.0
52.67,999.9,0,0,144,26,-1,40.52,7300.0,0.0
52.88,999.9,0,0,144,26,-6,40.52,2000.0,0.0
53.09,999.9,0,0,144,26,-6,40.52,989.9494936611666,0.0
53.31,999.9,0,0,144,26,-6,40.52,921.9544457292888,0.0
53.53,999.9,0,0,144,26,-5,40.52,921.9544457292888,0.0
53.74,999.9,0,0,145,26,-5,40.52,5015.974481593781,0.0
53.96,999.9,0,0,146,26,-4,40.54,5015.974481593781,0.0
54.17,999.9,0,0,146,26,-4,40.54,5015.974481593781,0.0
54.39,999.9,0,0,146,26,-8,40.54,5015.974481593781,0.0
54.6,999.9,0,0,144,26,4,40.54,8509.406559801922,0.0
54.81,999.9,0,0,144,27,4,40.54,8509.406559801922,0.0
55.02,999.9,0,0,144,27,4,40.6,9433.981132056604,0.0
55.24,999.9,0,1,144,27,4,40.6,9442.986815621422,0.0
55.45,44.6,0,1,143,27,0,40.6,92049.55187289072,-4403.72647872773
55.67,44.6,0,1,143,27,0,40.57,2109.5023109728986,0.0
55.89,44.6,0,1,143,27,0,40.57,6676.0766921898075,0.0
56.1,44.6,0,1,143,27,0,40.57,21783.020910791965,0.0
56.31,-100.0,0,0,145,27,6,40.51,25300.790501484335,-674.8205938901943
56.53,-100.0,1,0,145,27,6,40.51,25300.790501484335,0.0
56.74,-100.0,1,0,145,27,6,40.51,25300.790501484335,0.0
56.95,-100.0,1,0,145,27,6,40.51,25300.790501484335,0.0
57.17,-100.0,1,0,145,29,0,40.51,25300.790501484335,0.0
57.37,-100.0,0,0,145,29,0,40.51,25300.790501484335,0.0
57.59,-100.0,0,0,145,29,0,40.51,25300.790501484335,0.0
57.8,-100.0,0,0,145,29,0,40.51,25300.790501484335,0.0
58.01,-100.0,0,0,145,28,0,40.51,25300.790501484335,0.0
58.22,-100.0,0,0,145,28,0,40.51,25300.790501484335,0.0
