t_s,height_cm,roll_deg,pitch_deg,yaw_deg,batt_%,accel_x,temp_c,speed_cm_s,vz_cm_s
0.01,3.3,0,0,0,61,-1,0,64300.0,260.2121221236276
0.22,3.3,0,0,0,61,0,0,64300.0,0.0
0.44,3.3,0,0,0,61,0,41.37,45300.44149895231,0.0
0.65,3.3,0,0,0,61,0,41.37,45300.44149895231,0.0
0.87,3.3,0,0,0,55,0,41.25,14360.013927569848,0.0
1.08,3.3,0,1,0,54,10,41.25,14360.013927569848,0.0
1.3,3.3,1,1,0,54,-9,41.14,14360.013927569848,0.0
1.51,3.3,1,1,0,54,-9,41.12,1000.0,0.0
1.73,43.4,1,1,0,54,-9,41.12,600.0,186.02301226353325
1.94,43.4,1,1,0,52,-7,41.09,1843.9088914585775,0.0
2.16,43.4,0,1,0,52,-7,41.07,2716.615541441225,0.0
2.37,43.4,0,0,0,52,0,41.07,2716.615541441225,0.0
2.59,43.4,0,0,0,52,0,41.03,1964.68827043885,0.0
2.8,43.4,0,0,0,52,0,41.02,1964.68827043885,0.0
3.02,43.4,0,0,0,52,0,41.02,1964.68827043885,0.0
3.23,88.7,0,0,0,53,0,40.97,200.0,214.74997281745652
3.45,88.7,0,0,0,53,-1,40.97,1000.0,0.0
3.66,88.7,0,0,0,53,1,40.97,1300.0,0.0
3.87,88.7,0,0,0,53,1,40.97,1216.552506059644,0.0
4.08,88.7,0,0,0,53,-2,40.97,1627.8820596099706,0.0
4.3,88.7,0,0,0,53,-2,40.97,854.4003745317531,0.0
4.51,88.7,0,0,0,53,-2,40.97,1063.014581273465,0.0
4.73,88.7,0,0,0,53,-2,40.85,905.5385138137417,0.0
4.94,88.7,0,1,0,53,0,40.84,905.5385138137417,0.0
5.16,88.7,0,1,0,53,0,40.83,500.0,0.0
5.37,88.7,0,1,0,46,5,40.83,707.1067811865476,0.0
5.59,85.4,0,1,0,45,-7,40.82,500.0,-15.306561564849268
5.8,85.4,0,1,0,45,-9,40.84,2912.043955712207,0.0
6.02,83.0,0,0,0,45,0,40.84,2912.043955712207,-11.255507761528829
6.23,83.0,0,1,0,45,0,40.84,2912.043955712207,0.0
6.45,85.0,0,0,0,45,0,40.84,2912.043955712207,9.160359093246964
6.66,83.6,0,0,0,45,0,40.84,2912.043955712207,-6.5192140562169
6.87,83.6,0,0,0,42,0,40.84,2912.043955712207,0.0
7.09,83.6,-16,0,0,42,0,40.84,21315.018179677914,0.0
7.3,83.6,-16,0,0,42,0,40.84,29810.736320996835,0.0
7.52,83.6,-16,0,0,41,0,40.84,29804.194335697117,0.0
7.73,83.6,-16,0,0,41,-1,40.84,8793.179174792243,0.0
7.95,999.9,6,1,0,41,4,40.83,15179.591562357664,4255.684692896784
8.16,999.9,5,1,0,40,4,40.83,14921.461054467823,0.0
8.38,999.9,8,0,0,40,4,40.8,1431.7821063276353,0.0
8.59,999.9,8,0,0,40,-3,40.8,7802.5636812524635,0.0
8.81,999.9,20,0,0,40,-3,40.8,14228.492541376265,0.0
9.02,999.9,20,0,0,38,2,40.8,82300.9720477225,0.0
9.24,65.6,0,0,0,38,2,40.8,53200.375938521334,-4291.370830527165
9.46,65.6,0,0,0,38,2,40.77,53200.093984879386,0.0
9.67,65.6,-19,0,0,37,2,40.76,31100.160771288625,0.0
9.89,65.6,-11,0,-1,37,5,40.76,31110.287687515844,0.0
10.11,65.6,0,0,-1,36,5,40.76,13064.838307457157,0.0
10.32,60.3,0,0,-1,35,-2,40.76,6818.357573492314,-24.97947710082781
10.53,60.3,4,1,0,35,-4,40.77,2600.0,0.0
10.75,60.3,4,1,0,36,-1,40.77,509.9019513592785,0.0
10.96,96.7,3,0,0,36,-1,40.77,509.9019513592785,169.2053853963019
11.18,96.7,3,0,0,37,-1,40.8,7404.052944165108,0.0
11.4,96.6,3,0,0,37,-11,40.8,7404.052944165108,-0.4657491532952482
11.61,96.6,-8,0,0,37,1,40.8,7404.052944165108,0.0
11.82,999.9,-1,0,-1,37,0,40.8,33021.81097396083,4223.536313775851
12.04,999.9,1,0,-1,37,0,40.8,33021.81097396083,0.0
12.26,999.9,1,0,0,34,6,40.77,14908.386901338454,0.0
12.47,90.6,4,0,3,34,0,40.77,14908.386901338454,-4293.179807239874
12.68,90.6,3,0,7,35,10,40.77,14908.386901338454,0.0
12.89,121.0,1,0,8,36,-2,40.79,2801.78514522438,140.9705123201617
13.11,121.0,1,0,8,36,-12,40.79,1923.5384061671346,0.0
13.32,999.9,-1,17,9,36,3,40.79,9343.446901438461,4211.6316368173075
13.53,999.9,-2,17,9,36,3,40.79,13418.271125595875,0.0
13.75,999.9,-2,17,9,36,3,40.79,32170.794208412077,0.0
13.96,999.9,-2,17,9,36,3,40.75,31117.358499718448,0.0
14.18,999.9,-17,-2,8,36,1,40.75,31117.358499718448,0.0
